위도,경도,주차구획수
35.15329648,126.8981335,6
35.14479013,126.8547187,25
35.16667956,126.8526003,10
35.16646584,126.8526378,12
35.1640376,126.8521721,9
35.15509075,126.9013634,249
35.15257397,126.8932208,14
35.14507754,126.8856842,19
35.16030872,126.891338,13
35.12937717,126.8839229,65
35.12487156,126.8791788,9
35.15221868,126.8422202,219
35.15270475,126.8917483,171
35.1612474,126.8584296,16
35.14172876,126.8783335,24
35.14572556,126.8438925,54
35.14713704,126.8618748,30
35.14342115,126.8866293,15
35.14878557,126.8665819,10
35.15847243,126.8926032,4
35.15385914,126.8797736,39
35.14252868,126.8732198,31
35.14994043,126.9059761,8
35.15037423,126.8902215,20
35.14836711,126.8806458,27
35.15522263,126.8889178,9
35.132465,126.8573497,50
35.10850556,126.8216293,14
35.14855087,126.8772085,96
35.17087029,126.864739,15
35.15015682,126.9069829,40
35.15705533,126.8767076,17
35.15335928,126.8923541,26
35.15396863,126.8909739,7
35.15203177,126.8901112,143
35.16558333,126.852727,7
35.16675456,126.8352236,17
35.16570378,126.8376324,25
35.14182727,126.8737654,16
35.15223195,126.9032017,82
35.15648811,126.8913076,37
35.15203177,126.8901112,197
35.15203177,126.8901112,118
35.12596351,126.8695967,182
35.14680667,126.8660606,12
35.12899182,126.8571559,9
35.12979981,126.8818544,62
35.15661505,126.889588,28
35.13518075,126.8571483,16
35.16448764,126.880162,20
35.14345532,126.8769162,13
35.12474963,126.8786648,7
35.11562592,126.8300941,19
35.11445067,126.8302906,9
35.16510605,126.8518226,40
35.14994536,126.8433434,6
35.15634355,126.8777162,4
35.15377578,126.8674199,19
35.15489274,126.9008763,12
35.15752068,126.8940007,10
35.01689888,127.6192593,10
34.93768115,127.7233326,10
34.94328164,127.7495744,11
34.96291892,127.7251672,66
34.9409479,127.6977062,21
34.93799989,127.6784106,81
35.12323631,127.6911792,30
35.01985819,127.7196239,4
34.98946947,127.6988168,25
35.0114872,127.5812486,16
34.97309514,127.5809932,66
34.95080512,127.6447975,11
34.9347332,127.7599894,11
34.95592865,127.7307309,7
34.9600813,127.7452659,4
34.92525325,127.588103,24
34.9291101,127.6907607,41
34.962643,127.606865,8
34.94117198,127.7033872,39
34.97948791,127.5739686,35
34.98087673,127.582983,31
34.9466379,127.7030895,227
34.9407045,127.6970852,120
34.941553,127.6958884,51
34.94042233,127.6959902,165
34.96499367,127.7162227,47
34.96227404,127.7193643,61
34.959655,127.7247278,230
34.96397893,127.719674,57
34.96279146,127.7184812,64
34.96102584,127.7292799,77
34.94347414,127.7006827,29
34.93089,127.6980586,26
34.9802809,127.5795864,34
34.9663003,127.5643305,15
34.96505882,127.5644756,11
34.97616555,127.5719763,24
34.9426171,127.6064656,0
34.9444292,127.6063827,0
34.95054516,127.6034371,113
34.9523872,127.6029793,165
34.97168439,127.591178,35
34.9695969,127.5851363,16
34.9703309,127.5868646,161
34.9736557,127.583395,27
34.9804197,127.5844901,29
34.9740176,127.6070906,52
34.97086911,127.6098882,43
34.96950425,127.6091487,53
34.93928644,127.6053355,311
34.97668,127.5880446,4
34.97679056,127.5874213,5
34.9777804,127.5860265,5
34.9735122,127.5888652,5
34.973696,127.586185,23
34.9723616,127.5881863,12
34.9722678,127.5870405,8
34.9721368,127.586409,14
34.9769684,127.58428,25
34.9783764,127.5839172,14
34.9756182,127.591388,6
34.976141,127.5913917,8
34.9776784,127.5847335,8
34.97924441,127.5883311,48
34.98433514,127.5783892,50
34.97059178,127.5847912,20
34.9733354,127.5918753,24
34.9652663,127.5753495,32
34.9767866,127.5808615,13
34.9825798,127.5851626,33
34.97040829,127.5927798,63
34.9745997,127.5876574,25
34.9728463,127.5848964,12
34.97650959,127.5872113,20
34.9743909,127.5766615,74
34.97962818,127.5813749,82
34.98268184,127.5797853,43
34.97642174,127.5852909,43
34.9781795,127.5817474,72
34.9725328,127.580733,64
34.9701353,127.5806787,52
34.97566655,127.5845817,89
34.93518159,127.697944,75
34.93703953,127.6982768,36
34.94000322,127.696756,40
34.94009605,127.6992982,45
34.93800609,127.6967812,28
34.94022333,127.6999951,6
34.943989542,127.6891405055,28
